"Method","tau","seed","n_boot","intercept","Black","Asian","Hispanic","visit.10","visit6.10","diabete","hypertension","cigarette","age..19","age..35","WIC","unmarried","college","some.college"
"i-Rock",0.01,10,5000,1087.75863812156,-255.56561381108,-130.52316583225,-36.6765938531796,837.77878373481,330.889019957901,-12.0451797335798,-407.35080645161,-123.49224212279,15.4245463856102,-116.3277576532,34.10438938811,-67.6660047928698,82.8129044697105,-5.66099163679985
"i-Rock",0.01,11,5000,1088.0674629343,-252.273930428575,-177.246081664293,-45.8341296009695,854.848543313498,354.70246668109,-2.91278675824997,-433.420585002367,-72.4493395811275,40.2652521543332,-103.94484142801,27.1506553869774,-82.0667038089401,64.8889388071523,-20.2178244254751
"i-Rock",0.01,12,5000,1097.26092928184,-270.260582397509,-151.267778685346,-42.9783675072487,846.254904462018,343.85835042678,1.77894174208727,-436.371224650109,-108.012874223329,-10.2256965282616,-121.889704631736,31.7519449414839,-76.9901985796675,73.6025942921339,-17.6557721504948
"i-Rock",0.01,13,5000,1089.01550387596,-249.177998953809,-151.58640200859,-40.1965152289516,842.122443398259,338.343930870747,11.0395972115617,-418.353959801734,-94.4277513507201,23.93784029039,-106.163250631817,29.8523040764972,-73.5041715888211,76.6669977807272,-11.1414141414197
"i-Rock",0.01,14,5000,1081.27402526462,-281.945540950535,-161.618267891725,-42.3494711880952,850.249004531865,349.63415544356,-21.8837066782852,-426.714466510245,-82.162926169545,-4.62500000000016,-112.33075983196,22.9893675611548,-59.3990252646203,84.6678336624146,-7.93458530637504
"i-Rock",0.01,15,5000,1063.32400597827,-237.732275052984,-191.077744163993,-30.7365802608835,866.886121206834,365.115305317767,-16.7818040318231,-422.143987668294,-113.521756218584,33.7343283582099,-122.295323627747,25.3751210969666,-69.2121804903335,80.9950914165131,-9.43577543192993
"i-Rock",0.01,16,5000,1083.87116020371,-259.542352642913,-159.553437213479,-45.9675546400634,858.661300938557,359.976411907128,-24.4156299428854,-417.384805303052,-96.2807176101732,27.4120233159865,-112.528468858355,27.1573086546436,-83.1443463043891,65.7775151050058,-8.88425925925894
"i-Rock",0.01,17,5000,1084.19642857143,-252.196428571426,-193.48214285714,-41.5288387247598,850.3779607698,351.14543388808,-16.1553010601899,-426.900142488199,-99.5686142441024,-4.96424948107576,-103.94484142801,30.2871187534539,-75.6829728993137,73.2305557137238,-4.99010706807633
"i-Rock",0.01,18,5000,1062.69592107752,-267.78211827913,-138.500407160161,-39.1369778565501,867.630753245807,359.210376427007,-21.4396964667793,-414.29121262413,-63.2770430936737,14.4869049627642,-108.73992671442,31.4857652324197,-70.9791815170693,82.2733560180304,-3.09628018212984
"i-Rock",0.01,19,5000,1095.19381476948,-258.041519690695,-151.525017776997,-45.9318241339742,841.180659206158,336.900336500169,-31.5553404829855,-429.686007460508,-93.622386198046,37.2023825066538,-118.408143809137,24.2847133337172,-70.6095238095202,72.3668739678607,-5.81913349264819
