"Method","tau","intercept","Black","Asian","Hispanic","visit.10","visit6.10","diabete","hypertension","cigarette","age..19","age..35","WIC","unmarried","college","some.college"
"i-Rock",0.01,1086.46948269906,-247.185858585859,-118.212373331339,-40.0011482321204,847.333224720134,355.757190463433,-8.89643180127965,-412.226545803033,-102.068616483769,68.581760461761,-95.2621273346073,49.9344750696277,-85.2941479099678,63.9415808057613,-13.612525252525
"two-step",0.01,1092.21711320128,-253.035212040845,-131.725019739256,-44.3409454181025,840.298923566922,349.123455262688,-2.64338369239846,-423.024789820642,-106.736359520959,74.2836013035897,-101.217971391309,47.7937854866167,-87.050747496338,69.9340633106947,-12.1234306358085
"i-Rock",0.01,1109.5046128382,-264.753235100412,-166.112089562545,-48.8292127675281,833.937275985663,328.827881333683,21.2310793768094,-414.073190896123,-86.5956379679987,3.29438851568963,-103.092617838348,24.4226697673233,-70.7700582179898,64.8429694515093,-17.6430743766643
"two-step",0.01,1108.10966525615,-274.496681646981,-160.758979599857,-56.7621600530245,833.833722555726,327.289954327278,15.3384111817496,-418.380715235617,-98.3657790595993,11.2421303336364,-105.533812310728,27.6753732195089,-73.7299763567249,71.1081371596226,-13.7810338440137
"i-Rock",0.01,1082.65702908838,-245.760296010296,-144.594116375693,-35.4991672245561,837.415766921916,332.924803699375,21.1759058653707,-408.718126191121,-97.1689756448994,41.3382795144666,-108.270817770778,34.6992809933178,-62.4638203653964,93.0713203653967,-0.722381510270864
"two-step",0.01,1086.13366255426,-255.743232967838,-139.226994201327,-44.8226392675349,836.821447444914,330.759964274207,23.1897805476598,-425.406441820711,-106.829913956749,45.2440468050665,-110.357060376074,37.749585082584,-64.9160423272826,94.2133223472665,-2.60572773092723
"i-Rock",0.01,1073.73758865248,-252.411506906558,-163.975583809029,-40.1709219858155,846.351001587408,345.729763809911,-5.93401912906017,-427.651090394642,-62.054571110831,56.1577146455701,-90.2164587300516,26.3382030931625,-65.6715364264956,94.4796599180646,-5.31756039900879
"two-step",0.01,1074.70759541303,-258.613988674154,-161.749275017872,-45.380966466945,843.597256826232,345.247487228133,1.28893083312469,-434.036536353538,-78.9075923922312,55.7970337604766,-94.6428464225132,28.415668136388,-67.7520900166826,98.2563430149116,-1.32802426130926
"i-Rock",0.01,1069.19585326954,-270.497025662309,-149.094072862556,-29.2691076224556,858.379967049504,352.793711908466,10.3715481020111,-414.872117041225,-86.4158829587758,51.6297041303805,-104.166522332505,23.7121796809586,-62.4571071462225,82.1448348219958,8.2490741957263
"two-step",0.01,1074.09211511665,-281.665088972238,-149.967852114276,-37.2293746980125,850.9175801081,345.368891072321,18.1446218460628,-420.910332004464,-101.142169697529,51.3510628199006,-104.794849166822,24.8908725409274,-61.9898349537546,88.7856543305714,10.6798625357993
"i-Rock",0.01,1090.27520384667,-265.221629380027,-168.803732230862,-41.5490640792847,843.490614887274,345.716513186063,2.8523851960774,-410.490584547121,-94.6489597460764,38.6724465600129,-95.0911156900937,32.4686428413055,-75.4661397673901,77.9834917282059,-8.28684677133193
"two-step",0.01,1092.30580012641,-275.047538178264,-164.913727968711,-47.1017801412308,840.238845022488,342.570354890952,8.38008576481347,-415.020802061955,-109.341784462511,42.371241358449,-98.2722820900527,32.0537184927938,-78.6346618259318,80.2923031236937,-6.99741566204659
"i-Rock",0.01,1091.44697932548,-260.336809269162,-161.063403570383,-40.9805194805198,850.400906509617,339.674242424242,-2.45489898086857,-419.548417041235,-68.7986733223146,17.7170746945709,-101.53197607734,35.3924242424242,-77.2348205084616,70.702717693225,0.351693996837873
"two-step",0.01,1092.59515613696,-272.067502454234,-154.964057382721,-47.2117101643033,847.977892655033,337.161138141549,-6.70470424640993,-427.314724762911,-80.0319313298477,15.3389714484689,-104.927672785767,36.4062891001922,-76.2211126241619,76.1401065280352,1.18967312468707
"i-Rock",0.01,1086.34958174858,-263.211557343626,-129.982226832073,-43.4757317340347,844.923735567116,335.00796015086,8.79483905293986,-407.51928631214,-86.4514897019694,30.8325619413916,-91.8869871301039,31.1045450471816,-67.8281563686365,70.0651595163764,-4.87825558730206
"two-step",0.01,1088.69124528767,-273.523654345835,-132.306041543551,-47.7892074607787,843.56424898742,334.342588725207,7.69244439160319,-419.014065784459,-87.798708197803,39.4504942617237,-93.7959081009719,29.9687550077135,-72.4490505201196,71.1273729779577,-1.52784794619866
"i-Rock",0.025,1351.06199892295,-249.471206147903,-153.815570706617,-35.9015763347301,891.159372419334,436.050215723178,-15.276259087729,-443.84958310534,-146.086435492096,33.9916536054083,-98.1528375509267,28.5407130399583,-87.0446470785555,65.3559382201189,-7.32819836889385
"two-step",0.025,1346.90657395629,-248.491302700211,-148.988737604223,-34.7251535280425,898.223277400197,442.005919380196,-11.0409670117606,-454.524430709583,-138.371087685308,32.213099878056,-101.808670639972,28.5218509743443,-88.0210080829902,56.4499101224843,-17.0391972259856
"i-Rock",0.025,1362.83313642216,-259.411299394443,-183.366666666667,-43.7534658691755,880.549514339942,410.928661330645,-12.4751822550475,-441.933478577897,-138.69335428611,-7.53949684397061,-98.9012061335129,21.1348600508904,-78.0951310861425,72.5490858000586,-11.46531528859
"two-step",0.025,1358.97902216822,-258.911299969767,-174.762289638086,-42.3309651623418,886.321641066305,418.177182351262,-9.53633540085651,-449.398105106289,-129.496063821967,-12.8354502785112,-102.279292776403,19.1196776011635,-77.7145189982559,62.6115974202297,-19.4395897604794
"i-Rock",0.025,1345.72566266633,-251.645207009825,-167.528306225511,-39.1475214206525,888.096637296694,423.647278439604,-7.99046355467061,-449.126398718668,-135.786303362197,15.9700025279538,-103.608988509248,26.8140156170701,-69.5486843278423,83.2546905903312,-4.1957869457305
"two-step",0.025,1337.39759508178,-251.07056788716,-156.438792848564,-38.6786609717713,897.974142123997,433.050685624937,-2.60913818880189,-458.094114707023,-130.379922823496,11.7065187528199,-105.997904720317,27.801723935528,-71.9646197863949,75.2596247305172,-11.2410671591575
