"Variable","Linear","Quantile"
"(Intercept)",3001.77118831648,1874.36170693892
"prenatal_visit_category6-10",96.6056840147431,442.638293061208
"prenatal_visit_category>10",211.397912440404,681.638293061208
"diabete",-44.2015955297116,-93.9999999999999
"hypertension",-232.92478669259,-563.999999999992
"cigarette",-78.0579495232181,-203.000000000146
"age_cat>=35",97.3966983305285,-12.0000000001415
"age_cat20-34",89.6058390815657,12.9999999998593
"low_income",5.59457472525941,21.9999999998688
"marital_catUnmarried",-10.8148160254926,-18.0000000000051
"education_catcollege",-25.6575534933461,-8.9999999999915
"education_catsome college",-7.53128735514282,-17.9999999998616
