"Variable","Linear","Quantile"
"(Intercept)",3120.85655753427,2103
"prenatal_visit_category6-10",90.6133596725087,286.999999999998
"prenatal_visit_category>10",201.388402680364,527
"diabete",38.4959191628694,-11.9999999999974
"hypertension",-228.557246657996,-509.999999999997
"cigarette",-155.902065756694,-163.999999999999
"age_cat>=35",78.9113667203872,-41.9999999999996
"age_cat20-34",91.88531875991,53
"low_income",1.06656871494135,10.0000000000005
"marital_catUnmarried",-33.0082892191524,-33.0000000000014
"education_catcollege",19.1498897851937,16.9999999999978
"education_catsome college",6.30611378621241,-23.000000000002
