"Variable","Linear","Quantile"
"(Intercept)",3177.15621540341,1936.00000000003
"prenatal_visit_category6-10",110.050762529234,437.999999999954
"prenatal_visit_category>10",246.864908391924,751.999999999998
"diabete",-15.582975102527,-45.9999999999695
"hypertension",-214.976607766052,-354.999999999987
"cigarette",-199.070988180081,-182.999999999881
"age_cat>=35",71.2108927313081,12.9999999998972
"age_cat20-34",78.5445209877741,61.9999999999716
"low_income",-16.5694794641388,-18.9999999999998
"marital_catUnmarried",-59.2481326256725,-80.0000000000034
"education_catcollege",35.0348753776775,60.0000000000235
"education_catsome college",18.8716881631919,18.0000000000616
