"Method","tau","n","p","seed","num_bin","beta0","beta1","time"
"mRock_kNN_bs_Neyman",0.8,10000,1,1,5,0.78972432671813,-3.46300013020237,72.223
"mRock_kNN_global_linear_Neyman",0.8,10000,1,1,5,0.776668477227811,-3.41797532007452,71.998
"mRock_kNN_bs_Neyman",0.8,10000,1,1,10,0.20678878595376,-1.47338921612274,71.779
"mRock_kNN_global_linear_Neyman",0.8,10000,1,1,10,0.199231812172449,-1.45091609479724,70.725
"mRock_kNN_bs_Neyman",0.8,10000,1,1,15,-0.128736871168089,-0.790359838443109,72.313
"mRock_kNN_global_linear_Neyman",0.8,10000,1,1,15,-0.136049689510984,-0.762919353275336,71.053
"mRock_kNN_bs_Neyman",0.8,10000,1,1,17,-0.182654109811343,-0.689710389886017,72.288
"mRock_kNN_global_linear_Neyman",0.8,10000,1,1,17,-0.183153293719088,-0.672001944398303,71.089
"mRock_kNN_bs_Neyman",0.8,10000,1,1,20,-0.109295752395944,-0.965467160441946,72.3150000000001
"mRock_kNN_global_linear_Neyman",0.8,10000,1,1,20,-0.111382660531087,-0.956566769226967,70.928
"mRock_kNN_bs_Neyman",0.8,10000,1,1,25,-0.277906439771999,-0.429873708447417,72.503
"mRock_kNN_global_linear_Neyman",0.8,10000,1,1,25,-0.280996643732933,-0.405947972254893,70.874
"mRock_kNN_bs_Neyman",0.8,10000,1,1,30,-0.0763944219221573,-1.10777788784164,72.2239999999999
"mRock_kNN_global_linear_Neyman",0.8,10000,1,1,30,-0.0809201543846223,-1.09382755201993,70.937
"two_step_Neyman",0.8,10000,1,1,NA,0.522690975889392,-1.73037154265755,0.0529999999999973
"two_step_LS",0.8,10000,1,1,NA,0.00214819587527249,-1.09455564477439,0.0249999999999773
"Average of linear quantiles",0.8,10000,1,1,NA,-0.0593792090441809,-2.02660464956288,0.711999999999989
"mRock_kNN_bs_Neyman",0.8,10000,1,10,5,-0.244004013188649,-0.0641423914195798,71.251
"mRock_kNN_global_linear_Neyman",0.8,10000,1,10,5,-0.242085495598634,-0.0628956562392062,71.669
"mRock_kNN_bs_Neyman",0.8,10000,1,10,10,0.120484655819853,-1.61985167661693,71.034
"mRock_kNN_global_linear_Neyman",0.8,10000,1,10,10,0.123187492874153,-1.63956381537778,70.612
"mRock_kNN_bs_Neyman",0.8,10000,1,10,15,-0.327248956729201,-0.061620284591072,71.234
"mRock_kNN_global_linear_Neyman",0.8,10000,1,10,15,-0.323791111503216,-0.0658295088443026,70.501
"mRock_kNN_bs_Neyman",0.8,10000,1,10,17,-0.28972503549564,-0.177311945056715,71.2280000000001
"mRock_kNN_global_linear_Neyman",0.8,10000,1,10,17,-0.28882159846921,-0.179389944205738,70.388
"mRock_kNN_bs_Neyman",0.8,10000,1,10,20,-0.235299170402387,-0.266350573646861,71.123
"mRock_kNN_global_linear_Neyman",0.8,10000,1,10,20,-0.235672445655441,-0.274036158159802,70.396
"mRock_kNN_bs_Neyman",0.8,10000,1,10,25,-0.201542531855468,-0.391495322193578,71.345
"mRock_kNN_global_linear_Neyman",0.8,10000,1,10,25,-0.200714750459315,-0.402842521277364,70.206
"mRock_kNN_bs_Neyman",0.8,10000,1,10,30,-0.0361920559158113,-1.14407770415605,71.163
"mRock_kNN_global_linear_Neyman",0.8,10000,1,10,30,-0.0327544937494415,-1.15772840473559,70.147
"two_step_Neyman",0.8,10000,1,10,NA,-0.460994609767812,0.569353585380796,0.0470000000000255
"two_step_LS",0.8,10000,1,10,NA,-0.33674166587212,0.406766683788035,0.0120000000000573
"Average of linear quantiles",0.8,10000,1,10,NA,-0.397652538816472,-0.428256968373105,0.644999999999982
"mRock_kNN_bs_Neyman",0.8,10000,1,100,5,0.641902219256716,-2.13901262215143,71.256
