"Method","tau","n","p","seed","num_bin","beta0","beta1","beta2","time"
"mRock_kNN_bs_Neyman",0.8,10000,2,1,2,-0.00153474454198399,-0.0100751893339504,0.0196221786016872,116.251
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,2,-0.00381728505621326,-0.00768892772928398,0.0193021229641364,104.741
"mRock_kNN_bs_Neyman",0.8,10000,2,1,3,-0.0229896159363545,0.0130671228860688,-0.00264218052622756,117.1
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,3,-0.0237240471330207,0.0144419347266704,-0.00219851445915342,103.411
"mRock_kNN_bs_Neyman",0.8,10000,2,1,4,-0.0298447578211292,0.0191824092227568,-0.00869716902553996,117.249
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,4,-0.0307558763686597,0.020723777162694,-0.00800237433278372,104.228
"mRock_kNN_bs_Neyman",0.8,10000,2,1,5,-0.0158070716569934,0.00870580999216486,-0.00615051975716074,117.014
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,5,-0.0167032468893589,0.00983571442876574,-0.00515677509326107,104.851
"mRock_kNN_bs_Neyman",0.8,10000,2,1,6,-0.0083183650133154,0.000119199800102887,0.00598146425430368,117.67
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,6,-0.00899023588171954,0.000989388718167561,0.00670535298956754,104.528
"mRock_kNN_bs_Neyman",0.8,10000,2,1,7,-0.0037234399838455,-0.0114183887684947,0.0198595885395152,117.224
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,7,-0.00449645194488757,-0.010880962600575,0.0217689895774971,104.704
"mRock_kNN_bs_Neyman",0.8,10000,2,1,8,-0.00947634308889267,-0.00307483040168144,0.00957629963531392,117.413
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,8,-0.0107620822973964,-0.00197359411985243,0.0114915133854741,104.837
"mRock_kNN_bs_Neyman",0.8,10000,2,1,9,-0.00694227151428839,-0.00390999777704204,0.00863527671621167,117.33
"mRock_kNN_global_linear_Neyman",0.8,10000,2,1,9,-0.00791831744416949,-0.00271355169620113,0.00918299245884047,104.601
"two_step_Neyman",0.8,10000,2,1,NA,-0.0239756226190817,0.00559861243471271,0.00980207058709048,0.0679999999999836
"two_step_LS",0.8,10000,2,1,NA,-0.00874570350959503,-0.00366834733209576,0.0110660878531386,0.0210000000001855
"mRock_kNN_bs_Neyman",0.8,10000,2,10,2,-0.0147481532687295,0.0149375014162962,-0.0224695093763225,117.101
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,2,-0.0144391295919792,0.0147654684799168,-0.0222259027376586,105.27
"mRock_kNN_bs_Neyman",0.8,10000,2,10,3,-0.0181090007418905,0.0136851692199889,-0.0200157431886696,117.053
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,3,-0.0174684198794521,0.0132470665172955,-0.0194247251036108,103.821
"mRock_kNN_bs_Neyman",0.8,10000,2,10,4,-0.0091935815158446,0.00222524689086168,-0.00538248482523951,116.531
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,4,-0.00889935542617337,0.0020214684578197,-0.00548753114042189,103.78
"mRock_kNN_bs_Neyman",0.8,10000,2,10,5,-0.00193400055073445,-0.00819548607979836,0.00181641080846973,116.455
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,5,-0.00183495994636207,-0.00818379046123496,0.00202657742160728,104.031
"mRock_kNN_bs_Neyman",0.8,10000,2,10,6,-0.0088622978196562,0.00343786400089474,-0.0150303599930295,116.671
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,6,-0.00849454360404422,0.00346122927825832,-0.0152902050336152,103.83
"mRock_kNN_bs_Neyman",0.8,10000,2,10,7,-0.0140679787979634,0.00757079235652647,-0.0138975255342011,116.459
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,7,-0.0136703208958586,0.00750967035579064,-0.0137985980212916,104.035
"mRock_kNN_bs_Neyman",0.8,10000,2,10,8,-0.0100697519024917,0.00122914182310918,-0.0089274980051206,116.478
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,8,-0.00976491903423704,0.00131604527695117,-0.00885950928282853,104.05
"mRock_kNN_bs_Neyman",0.8,10000,2,10,9,-0.00719135861532028,-0.00391609420135497,0.00328421934380341,116.753
"mRock_kNN_global_linear_Neyman",0.8,10000,2,10,9,-0.00663283360554145,-0.00427616193840752,0.00347793832116938,103.824
"two_step_Neyman",0.8,10000,2,10,NA,-0.00249582881663701,-0.00031250924576387,-0.0130207497219912,0.0729999999998654
"two_step_LS",0.8,10000,2,10,NA,0.00493327584455439,-0.00406099573032837,-0.014243051421686,0.0160000000000764
"mRock_kNN_bs_Neyman",0.8,10000,2,100,2,-0.0163627717059176,0.0166931159631196,-0.0127926512728243,119.776
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,2,-0.0158132784954061,0.0161093151533818,-0.0119023683117563,106.348
"mRock_kNN_bs_Neyman",0.8,10000,2,100,3,-0.00253125553914035,-0.0118133458848906,0.0296930485625824,119.935
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,3,-0.00273716895545117,-0.0114027971103461,0.0296111659925131,104.127
"mRock_kNN_bs_Neyman",0.8,10000,2,100,4,-0.00944121733938541,-0.000122264920226822,0.0091592527957145,118.892
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,4,-0.00944266669106253,-0.000158176495252071,0.00982393629602285,103.693
"mRock_kNN_bs_Neyman",0.8,10000,2,100,5,-0.00661265235311626,-0.00283314083497821,0.0135350168216144,118.624
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,5,-0.00672917797630168,-0.00286158505501399,0.0140191130202494,104.169
"mRock_kNN_bs_Neyman",0.8,10000,2,100,6,-0.00567077560935036,-0.00534715227678539,0.0192300039701987,117.807
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,6,-0.00564728287066685,-0.00513491638045549,0.0193367663634891,103.76
"mRock_kNN_bs_Neyman",0.8,10000,2,100,7,-0.00712363977655772,0.00266470039713917,0.00830601920243357,117.486
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,7,-0.00747430937211924,0.00283993414904682,0.00894631685547953,102.932
"mRock_kNN_bs_Neyman",0.8,10000,2,100,8,-0.0130932442101586,0.00825283314538616,0.00160177922262505,117.396
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,8,-0.0133696095743177,0.00837733920833994,0.00224045866984657,102.899
"mRock_kNN_bs_Neyman",0.8,10000,2,100,9,-0.00779410548076176,0.00324587634346907,0.0065672150983529,117.604
"mRock_kNN_global_linear_Neyman",0.8,10000,2,100,9,-0.00802040790602043,0.00314031126022796,0.00737311026328946,102.831
"two_step_Neyman",0.8,10000,2,100,NA,-0.0246434443501058,0.0140829257168016,0.00173632061324636,0.0769999999999982
"two_step_LS",0.8,10000,2,100,NA,-0.0121130697978025,0.00773700952372458,-0.000103714527928567,0.0229999999999109
"mRock_kNN_bs_Neyman",0.8,10000,2,101,2,0.0139494332942329,-0.0124057414775627,-0.0158272635769823,114.963
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,2,0.0136981781294054,-0.0123686550625677,-0.0150040856057032,102.355
"mRock_kNN_bs_Neyman",0.8,10000,2,101,3,0.0157682914786494,-0.0169963907226731,-0.0198014373360627,115.629
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,3,0.0160553445785561,-0.0172188667008903,-0.0194685697179313,99.773
"mRock_kNN_bs_Neyman",0.8,10000,2,101,4,0.0170129524337324,-0.0227459373865178,-0.00506033804488482,115.647
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,4,0.0171492317432482,-0.0229832979434552,-0.00406781279802981,100.41
"mRock_kNN_bs_Neyman",0.8,10000,2,101,5,-0.0017303663269328,-0.00165891180803257,-0.0292237170451424,115.901
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,5,-0.0018457319964531,-0.00166764317233303,-0.0291293162760713,102.535
"mRock_kNN_bs_Neyman",0.8,10000,2,101,6,0.00106918865245542,0.00608030239800605,-0.0380696616943483,116.173
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,6,0.00148173848793709,0.00558965480362161,-0.0372515934396329,102.551
"mRock_kNN_bs_Neyman",0.8,10000,2,101,7,0.000749507462327825,-0.00303364991498167,-0.027125445405459,116.537
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,7,0.000840409441758672,-0.00332484564794422,-0.0265845869002037,102.308
"mRock_kNN_bs_Neyman",0.8,10000,2,101,8,0.0032714439636905,-0.00526307347827215,-0.0259297408593255,116.381
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,8,0.00331713459612382,-0.00514857288595172,-0.0256391487103063,102.516
"mRock_kNN_bs_Neyman",0.8,10000,2,101,9,0.0049237061667593,-0.00542921525503814,-0.0246281305818075,116.431
"mRock_kNN_global_linear_Neyman",0.8,10000,2,101,9,0.005298992383723,-0.005464488922998,-0.0246270170339784,102.271
"two_step_Neyman",0.8,10000,2,101,NA,0.0155849491963469,-0.0113117617567093,-0.0308866379986776,0.0760000000000218
"two_step_LS",0.8,10000,2,101,NA,0.00123227297460549,-0.00401270759901129,-0.0267607228895512,0.0219999999999345
"mRock_kNN_bs_Neyman",0.8,10000,2,102,2,-0.0211921306368932,0.0302424930868193,-0.0446276814537594,115.141
"mRock_kNN_global_linear_Neyman",0.8,10000,2,102,2,-0.0214405642192137,0.0304636939112122,-0.0433393978491008,102.654
"mRock_kNN_bs_Neyman",0.8,10000,2,102,3,-0.0153877807019616,0.0198698766632082,-0.0317331130550036,117.396
"mRock_kNN_global_linear_Neyman",0.8,10000,2,102,3,-0.0165574406281908,0.0201237368566183,-0.0295818657913713,101.713
