"Method","tau","n","p","seed","beta0","beta1","beta2","time"
"two_step_Neyman",0.9,10000,2,1,-1.25201927693507,2.54991475059055,-3.7550031573861,0.0929999999999964
"two_step_LS",0.9,10000,2,1,-2.05912344389984,1.84200857402817,-2.24295102796501,0.0929999999999964
"mRock",0.9,10000,2,1,-0.131619616508745,0.212037102590978,-2.44749006030629,1.935
"mRock_global",0.9,10000,2,1,0.0195316323850392,0.0760178250903065,-2.69161685675211,17.529
"two_step_Neyman",0.9,10000,2,10,-0.616751854911893,0.0491597261326469,1.21020551560328,0.106999999999999
"two_step_LS",0.9,10000,2,10,0.444189064347578,-0.543184491168719,0.751174308516269,0.106999999999999
"mRock",0.9,10000,2,10,0.0624211430597787,-0.144089380776623,0.852689320507778,2.042
"mRock_global",0.9,10000,2,10,2.43699984249863,-2.55003181484902,1.0208001147526,18.105
"two_step_Neyman",0.9,10000,2,100,1.98544861764447,-1.59963954125378,-1.78653845709374,0.106999999999999
"two_step_LS",0.9,10000,2,100,1.01702545444685,-0.976985736530522,-1.46134805087965,0.106999999999999
"mRock",0.9,10000,2,100,0.739092183319764,-0.53855033952553,-1.42850689386881,1.963
"mRock_global",0.9,10000,2,100,2.27261576765576,-1.99820072461557,-1.72049271214171,17.233
"two_step_Neyman",0.9,10000,2,101,0.971301869754652,2.29683717740552,-5.75276039739042,0.0889999999999986
"two_step_LS",0.9,10000,2,101,0.16022216633013,1.64008738763523,-4.30284458586337,0.0889999999999986
"mRock",0.9,10000,2,101,-0.00672887879462092,0.122784579588268,-2.74264407218719,2.098
"mRock_global",0.9,10000,2,101,0.421093538974333,-0.188826621811315,-3.32689028206005,18.865
"two_step_Neyman",0.9,10000,2,102,1.21068460687271,0.230917273294976,-3.60374542721604,0.097999999999999
"two_step_LS",0.9,10000,2,102,0.670832866368931,-0.041986363960937,-2.78665726471728,0.097999999999999
"mRock",0.9,10000,2,102,0.0407733341265066,-0.0198165777988453,-2.20509841421477,1.957
"mRock_global",0.9,10000,2,102,-1.3337153768035,0.91016199474241,-1.84261847078233,20.925
"two_step_Neyman",0.9,10000,2,103,-1.42175928451847,0.642229306123469,4.1596403242209,0.0970000000000013
"two_step_LS",0.9,10000,2,103,0.0834717491027295,-0.316731281917964,3.60874756490033,0.0970000000000013
"mRock",0.9,10000,2,103,0.114517833812115,-0.11661868103365,3.55234516092236,2.212
"mRock_global",0.9,10000,2,103,-1.04915857696765,0.573254218826377,3.82923496146221,16.327
"two_step_Neyman",0.9,10000,2,104,4.49217359461595,-1.51068492098907,-4.98823359918495,0.0820000000000007
"two_step_LS",0.9,10000,2,104,0.735546557116103,0.537378863222657,-3.28576279388655,0.0820000000000007
"mRock",0.9,10000,2,104,0.0340702959341108,-0.0449009519114387,-1.85741099529247,1.909
"mRock_global",0.9,10000,2,104,-1.21986175026013,1.04644834426445,-2.81495808649537,14.757
"two_step_Neyman",0.9,10000,2,105,-4.21645911130194,3.68899422971634,1.16526198369715,0.0930000000000035
"two_step_LS",0.9,10000,2,105,-2.85458761344582,1.73901189352781,1.73651662656073,0.0930000000000035
"mRock",0.9,10000,2,105,-0.204954536152854,0.235858369700893,0.798069932896269,2.092
"mRock_global",0.9,10000,2,105,-0.458074427294366,0.930903987768307,0.529975319362961,16.551
"two_step_Neyman",0.9,10000,2,106,-1.62358684944728,1.51280328986225,-0.266835070454746,0.0970000000000013
"two_step_LS",0.9,10000,2,106,-1.3507595388658,1.4860876415572,-0.53000991369143,0.0970000000000013
"mRock",0.9,10000,2,106,-0.363658497556166,0.210581428485281,-0.0741189427001956,2.072
"mRock_global",0.9,10000,2,106,-3.64285575622089,3.51785976443626,-0.197003058828301,21.557
"two_step_Neyman",0.9,10000,2,107,2.97908327966373,-2.48614525284186,-0.407493121662213,0.0900000000000034
"two_step_LS",0.9,10000,2,107,1.8634855914367,-1.58515179964207,-0.215831203967966,0.0900000000000034
"mRock",0.9,10000,2,107,0.31215142228547,-0.389549500181852,0.326126652681381,2.034
