"Method","tau","n","p","seed","beta0","beta1","beta2"
"two_step_Neyman",0.9,1000,2,1,6.99534259049381,-1.60449709552464,-7.76846650301235
"two_step_LS",0.9,1000,2,1,3.58681390785964,-1.58341469223514,-4.31397056962366
"mRock",0.9,1000,2,1,0.525921330924687,-0.337292332199646,-3.99539304531173
"two_step_Neyman",0.9,1000,2,10,-12.6918140082953,7.96701214731238,9.54189204448662
"two_step_LS",0.9,1000,2,10,-3.21053015399707,2.70699286087754,5.44145703324426
"mRock",0.9,1000,2,10,-0.696072691556306,0.50671467299078,4.94244844190294
"two_step_Neyman",0.9,1000,2,100,-0.613033683791264,1.41740267403075,-2.81719062703328
"two_step_LS",0.9,1000,2,100,6.63912437758046,-3.31528530230313,-5.16988647013802
"mRock",0.9,1000,2,100,-0.27905916883819,-0.272693995393874,-2.96609144011911
"two_step_Neyman",0.9,1000,2,101,1.85639046335633,0.020654473729901,-9.14836878279068
"two_step_LS",0.9,1000,2,101,2.90615449320393,-3.25007310386963,-6.98175302146512
"mRock",0.9,1000,2,101,0.780852130505895,-0.505153148206527,-8.77472062149756
"two_step_Neyman",0.9,1000,2,102,2.85119101457486,-1.38265895579672,3.9557570863398
"two_step_LS",0.9,1000,2,102,9.60095650632955,-7.21789255123591,3.13042678887845
"mRock",0.9,1000,2,102,-0.125465334204339,-0.0214203903885921,2.98347734081474
"two_step_Neyman",0.9,1000,2,103,4.65481842977461,-0.233156716647156,-1.82286527952928
"two_step_LS",0.9,1000,2,103,5.55802418163747,-1.1150979164146,-1.8478840845638
"mRock",0.9,1000,2,103,-0.200110474373057,0.1475399229612,1.00818462626181
"two_step_Neyman",0.9,1000,2,104,0.511816086973554,-1.82938799724833,2.40328673210615
"two_step_LS",0.9,1000,2,104,0.190874952406805,-5.71959133212752,6.77676178483125
"mRock",0.9,1000,2,104,0.594675336437222,-0.806462719456994,-1.0569714060337
"two_step_Neyman",0.9,1000,2,105,-5.3000330515451,0.587354302865935,10.9608862690434
"two_step_LS",0.9,1000,2,105,-4.15028180995337,0.824996303553325,9.59259094125393
"mRock",0.9,1000,2,105,-0.525113291083018,0.280378358797043,5.37945365920537
"two_step_Neyman",0.9,1000,2,106,6.91977488920818,-10.3762178863819,1.27079493509802
"two_step_LS",0.9,1000,2,106,10.596885700099,-10.5793625763426,-2.1422812559786
"mRock",0.9,1000,2,106,1.04221647900178,-1.10893047929135,-4.73514968754188
"two_step_Neyman",0.9,1000,2,107,2.07680021445596,-10.1901305966322,5.09135839347771
"two_step_LS",0.9,1000,2,107,0.372969041983613,-3.03203526387492,-0.258609394096609
"mRock",0.9,1000,2,107,0.084438869230711,-0.605697203624624,-3.95746790938405
"two_step_Neyman",0.9,1000,2,108,17.2518533580074,-8.91688082350749,-15.7987104247591
"two_step_LS",0.9,1000,2,108,11.861115075693,-5.03651253336055,-14.0370369533122
