"Method","tau","n","p","seed","num_bin","beta0","beta1","beta2","time"
"Average of linear quantiles",0.9,10000,2,1,NA,3.22456203960876,-1.64810705213531,-0.331736257703697,0.423999999999999
"Average of linear quantiles",0.9,10000,2,10,NA,3.31433833107038,0.0659998487064719,-3.11479194567562,0.458000000000002
"Average of linear quantiles",0.9,10000,2,100,NA,2.9644055083611,-3.5232506158353,-2.49812063715753,0.466999999999999
"Average of linear quantiles",0.9,10000,2,101,NA,2.31236276478031,-1.8956036681684,0.136668030207358,0.416
"Average of linear quantiles",0.9,10000,2,102,NA,3.73501396819385,-2.71173498132555,-1.78056913680058,0.408999999999999
"Average of linear quantiles",0.9,10000,2,103,NA,2.94715539329823,-3.07155709274382,-2.42213531709279,0.468999999999999
"Average of linear quantiles",0.9,10000,2,104,NA,3.96630135208108,-4.11850789584627,-1.52620897049163,0.423999999999999
"Average of linear quantiles",0.9,10000,2,105,NA,1.54057595028672,-2.29129119413337,-0.219420877110704,0.404
"Average of linear quantiles",0.9,10000,2,106,NA,3.01803132823432,-5.55567205713219,-2.03939784269174,0.41
"Average of linear quantiles",0.9,10000,2,107,NA,3.87559363614865,-4.00641901156629,-1.60188506492205,0.401
"Average of linear quantiles",0.9,10000,2,108,NA,3.03241167768705,1.09948039528073,-0.461661203318392,0.451000000000001
"Average of linear quantiles",0.9,10000,2,109,NA,0.925497190062096,-5.67305430874012,-0.187003618618584,0.433999999999997
"Average of linear quantiles",0.9,10000,2,11,NA,2.66758497992805,-1.94462541125327,-0.953220571181353,0.391000000000002
"Average of linear quantiles",0.9,10000,2,110,NA,3.51112264609723,-2.56954407221516,-2.45470203849548,0.404999999999999
"Average of linear quantiles",0.9,10000,2,111,NA,2.57270475789295,-4.45750285543937,-1.35242879565126,0.459999999999999
"Average of linear quantiles",0.9,10000,2,112,NA,4.16114797092706,1.72907279746327,-1.6598780498096,0.414999999999999
"Average of linear quantiles",0.9,10000,2,113,NA,3.34356103229824,-3.18233805058474,-4.05382802798196,0.404
"Average of linear quantiles",0.9,10000,2,114,NA,2.62045778373711,0.196238106233059,-2.28651609978767,0.392000000000001
"Average of linear quantiles",0.9,10000,2,115,NA,1.92861127408406,-1.78543678145092,-0.425604086615421,0.452000000000002
"Average of linear quantiles",0.9,10000,2,116,NA,3.19718046413245,-1.17796507506055,-1.66796886168018,0.321
"Average of linear quantiles",0.9,10000,2,117,NA,3.78546340847551,-1.13375746063707,-1.4373860841866,0.443000000000001
"Average of linear quantiles",0.9,10000,2,118,NA,2.58836018726383,-1.85874216408385,-2.69776708641498,0.43
"Average of linear quantiles",0.9,10000,2,119,NA,5.17114317199085,-1.29469793168212,-2.00627277533478,0.446000000000002
