"Method","tau","n","p","seed","K","beta0","beta1","beta2","beta3","time"
"mRock_kNN_global_linear_Neyman",0.9,5000,3,1,301,16.1254038020666,0.474384517064709,-5.17373824719441,-4.99480385598017,8.27499999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,1,301,-1.54830588776598,1.53540872648785,1.7063664760633,-0.0141047819073992,11.767
"mRock_kNN_global_linear_Neyman",0.9,5000,3,1,602,11.9568209255448,-4.77571961999303,-5.19150809433079,0.280919457916697,7.375
"mRock_kNN_global_bs_Neyman",0.9,5000,3,1,602,-2.09678018561509,0.327170885888364,1.37751051088341,0.682225104062384,11.005
"two_step_Neyman",0.9,5000,3,1,NA,3.79204017075415,2.0599396668608,0.580500627684253,-1.43223144765964,0.0379999999999825
"two_step_LS",0.9,5000,3,1,NA,-3.69975443938718,14.5080967706133,3.91294308124454,-2.15106349407937,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,10,301,17.9427109335749,-1.90185168550992,-7.8097884873666,-3.02933638547396,8.628
"mRock_kNN_global_bs_Neyman",0.9,5000,3,10,301,2.2194959733789,-0.209464525551996,-3.87329700285166,-1.94383143500064,12.201
"mRock_kNN_global_linear_Neyman",0.9,5000,3,10,602,13.6308697570653,0.0149958008829727,-7.2783910577568,-3.54988371461534,7.88
"mRock_kNN_global_bs_Neyman",0.9,5000,3,10,602,3.0437484549281,1.23994325447606,-4.9547732143978,-2.98972111567424,11.861
"two_step_Neyman",0.9,5000,3,10,NA,8.27038767779027,0.278035531615142,-5.78575667141898,-4.09462379229353,0.0310000000000059
"two_step_LS",0.9,5000,3,10,NA,-0.974159625476996,12.8151056754711,-2.89547216097326,-1.0178917527344,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,100,301,11.8461088725775,-7.60314115858844,-2.80699142621958,0.502320176966276,8.533
"mRock_kNN_global_bs_Neyman",0.9,5000,3,100,301,-0.0917648860749607,-1.84064149808693,2.7564536949242,2.11632851270285,12.078
"mRock_kNN_global_linear_Neyman",0.9,5000,3,100,602,10.3613141596858,-9.57103180496367,-3.02168693157785,1.59225241613956,7.92000000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,100,602,-0.313218400203342,-2.52689408646757,2.62189652861643,1.67371121579518,11.681
"two_step_Neyman",0.9,5000,3,100,NA,3.57393664344135,-4.12356070981981,2.24119033016068,6.52420823507643,0.0300000000000011
"two_step_LS",0.9,5000,3,100,NA,-2.58907314317334,9.69671710419036,8.34227846205165,-1.29865478216538,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,101,301,15.6534365229747,-3.45589861259484,-5.84719969815095,-4.10170423963084,9.30399999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,101,301,3.20117054002477,0.708527299068814,-1.87236770187878,-4.60220628191662,12.546
"mRock_kNN_global_linear_Neyman",0.9,5000,3,101,602,12.6572792823277,-3.69969977211187,-5.71338481304293,-3.16247808879088,8.114
"mRock_kNN_global_bs_Neyman",0.9,5000,3,101,602,4.03538203045982,0.100011801236719,-3.48813865166345,-4.45588440746291,11.424
"two_step_Neyman",0.9,5000,3,101,NA,8.95432503359345,-3.18649670885353,-5.76125202356984,-0.242912943266054,0.0390000000000157
"two_step_LS",0.9,5000,3,101,NA,3.04029073036154,6.1903553095393,-2.24707673513443,-1.40259680041428,0.0159999999999911
"mRock_kNN_global_linear_Neyman",0.9,5000,3,102,301,12.5550653323551,-10.1709458181296,-1.29588450116297,0.0827980190548483,8.64999999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,102,301,0.593480593725256,-6.397321044605,0.489612672270448,-1.64566235572434,12.295
"mRock_kNN_global_linear_Neyman",0.9,5000,3,102,602,11.2518923600297,-9.42050402303006,-2.25630054188101,-0.953777257948211,7.83200000000002
"mRock_kNN_global_bs_Neyman",0.9,5000,3,102,602,1.61183069295977,-5.71160350247773,0.541457752828777,-3.69025628426741,11.537
"two_step_Neyman",0.9,5000,3,102,NA,6.4888238415234,-5.81264912100414,-0.30107673769529,-6.38653551725924,0.0310000000000059
"two_step_LS",0.9,5000,3,102,NA,-0.694913965816624,3.112914419079,3.78674258391514,-4.89848414374923,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,103,301,12.5411054443434,-7.40050728758954,-1.68595761986345,3.86925882752689,8.452
"mRock_kNN_global_bs_Neyman",0.9,5000,3,103,301,-3.0495584789746,-1.28610072873373,3.85458016656409,3.63493221648364,12.164
"mRock_kNN_global_linear_Neyman",0.9,5000,3,103,602,9.94419139409134,-7.81018085399113,0.261358205157129,0.559132790543161,7.94999999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,103,602,-2.64248335940007,-3.03547203474749,5.22768770426036,2.92414238232413,11.694
"two_step_Neyman",0.9,5000,3,103,NA,0.765321616919745,-1.53368914437145,8.34569845874103,4.41919324589552,0.02800000000002
"two_step_LS",0.9,5000,3,103,NA,-13.3896681086814,17.6488184458458,15.7139882977346,5.57813130867215,0.0109999999999957
"mRock_kNN_global_linear_Neyman",0.9,5000,3,104,301,13.1106333781501,-1.576966547014,-1.41327717219541,-2.19067145460201,9.09700000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,104,301,0.147181930096518,6.24806576041041,3.91722684804574,-7.40325638063344,12.089
"mRock_kNN_global_linear_Neyman",0.9,5000,3,104,602,11.199878141385,0.473843407723691,-1.45195496355326,-6.52503327451292,7.27500000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,104,602,0.935420797230427,6.84155083266311,3.44477619160013,-9.15070522745941,10.974
"two_step_Neyman",0.9,5000,3,104,NA,6.22475907954556,13.0448270139523,5.07326282988322,-15.1838955364222,0.0339999999999918
"two_step_LS",0.9,5000,3,104,NA,-5.70898635417449,27.4445757334304,10.18454635322,-10.7226019940309,0.0120000000000005
"mRock_kNN_global_linear_Neyman",0.9,5000,3,105,301,14.6621560107489,-2.41480384755216,-3.76716567980871,-0.0410313542477991,9.804
"mRock_kNN_global_bs_Neyman",0.9,5000,3,105,301,1.09984084891922,1.87749550815234,-0.238856263576462,0.80867913700235,12.923
"mRock_kNN_global_linear_Neyman",0.9,5000,3,105,602,12.2324284617651,-3.80095529403126,-4.86389361590342,1.60735113529159,8.29300000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,105,602,0.653485047406283,1.48403092911785,-0.600548640540036,3.13005403614285,11.65
"two_step_Neyman",0.9,5000,3,105,NA,3.11025325494984,2.00366521479463,5.54793364024067,7.1919183252083,0.0339999999999918
"two_step_LS",0.9,5000,3,105,NA,-8.57008855516758,17.2229991672613,13.2440166343521,7.7313442988928,0.0150000000000148
"mRock_kNN_global_linear_Neyman",0.9,5000,3,106,301,11.3451187474312,-8.36577936665377,-3.16700906647789,8.16168270014377,8.78100000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,106,301,-1.95987876396036,-2.85160873723053,-0.250630215444481,7.02349711123123,12.007
"mRock_kNN_global_linear_Neyman",0.9,5000,3,106,602,8.26509275777743,-6.8559040558146,-2.26313395623411,4.6795572574011,7.70400000000001
"mRock_kNN_global_bs_Neyman",0.9,5000,3,106,602,-1.96052956152626,-3.30196349633037,0.409115845603914,5.80484998013038,11.371
"two_step_Neyman",0.9,5000,3,106,NA,4.59378210380563,-3.70275536371728,-0.817736519093297,4.87369353838956,0.0339999999999918
"two_step_LS",0.9,5000,3,106,NA,-2.91870386473028,9.26440288201217,3.76347283253005,2.49455352328536,0.00999999999999091
"mRock_kNN_global_linear_Neyman",0.9,5000,3,107,301,15.5017840985338,-5.4812462222172,-1.04920901008914,-4.39208080823231,8.64699999999999
"mRock_kNN_global_bs_Neyman",0.9,5000,3,107,301,1.7740276917273,0.698435964002237,2.32749338188402,-5.10104592531751,12.116
"mRock_kNN_global_linear_Neyman",0.9,5000,3,107,602,11.722349112691,-5.48599332493296,-0.475630213631618,-2.78875000065024,7.202
